Class,Data
01,"-399.61926,71.472374,0.078805104,12.707154,-10.982091,5.3504767,-11.598372,-1.4865313,-10.91422,2.5911112,-5.697184,2.2014399,-1.7604349,0.7635704,-8.233943,-1.0986742,-3.3394787,3.4404712,-9.196983,-1.3985102"
01,"-403.6824,42.33038,-10.183697,19.48963,-16.077225,8.972207,-13.996535,-4.2161245,-11.090117,5.9952254,-11.889993,1.9010615,-8.260062,4.43709,-2.941505,-3.0699677,-4.31324,4.3636937,-9.202451,3.510552"
01,"-438.98398,52.70136,-9.25652,20.547445,-8.138707,4.8958178,-14.349613,-1.8927196,-5.617203,4.0880647,-10.623009,7.549999,-5.9608407,-0.2859866,-0.85398215,-3.8786333,-3.9743068,5.320211,-10.148795,3.2551093"
01,"-436.17203,41.631416,8.100864,46.25105,-10.002504,0.01021467,-10.661188,-7.2412457,-14.874547,-2.794539,-10.123601,5.818389,-8.963125,2.9166417,-1.6134256,-3.5521853,-0.51156825,0.20261882,-11.547538,5.1051135"
01,"-419.76117,42.52383,-3.59516,41.69163,-16.915293,-0.34905362,-9.747181,-9.67893,-12.699327,-2.2147293,-10.54305,11.669605,-10.153351,3.0940456,-1.8764876,-4.325389,-4.3993664,4.4643564,-9.793688,5.441071"
01,"-386.08627,43.101593,14.211051,20.596954,-10.7256975,-1.4729735,-12.579422,-5.4554887,-13.018679,0.5352707,-9.876448,7.815668,-5.0265217,2.794209,-1.7598724,-1.5739093,-3.9592638,5.0571413,-8.109513,3.9621565"
01,"-416.04276,86.41519,3.4211195,24.09012,-23.554989,1.3414356,-5.917893,-14.390204,-5.74517,0.21241802,-12.291804,3.4654424,-8.679302,4.2984376,-2.7800639,-1.101199,-0.77287257,-2.095773,-7.2499433,-0.8379173"
01,"-403.67896,79.887566,-15.971728,6.2091284,-13.405256,5.7871404,-11.254926,-13.5766115,-8.402759,0.60652506,-10.427713,2.9410777,-11.249456,1.1341494,-2.3330033,-4.1887193,-4.6462026,1.6242507,-6.461118,1.3407793"
01,"-431.61276,57.679337,-1.9976509,38.167503,-9.310521,-3.511387,-11.785805,-12.037558,-9.748099,-8.1996975,-10.44993,9.718203,-10.674024,4.7175493,-3.6754525,-3.3026931,1.3205973,0.89874727,-12.229447,4.7882833"
01,"-396.89438,63.952957,-12.46498,13.91092,-10.348167,3.229016,-9.255629,-10.450256,-9.442452,-0.13942704,-5.296277,7.8701196,-4.5611324,4.863066,-4.597004,-4.6873174,-0.42642257,-0.437724,-2.2214243,0.54616207"
01,"-399.3546,72.32526,-9.591895,23.527885,-5.7590923,-1.8563353,-18.085793,-10.783175,-7.3024583,4.416052,-14.904621,5.394481,-6.623336,0.37834463,-4.871722,-9.516324,-0.60272527,-1.0511633,-9.79373,3.858383"
01,"-420.69626,53.180733,-0.5293601,7.0300136,-5.6683626,1.7751899,-16.762455,-2.5333667,-11.589794,6.8370733,-11.031901,1.5927399,-5.8599997,0.69064105,-2.6002827,-3.8006952,-1.3224041,5.7497354,-5.67536,5.1335454"
01,"-439.60175,59.823914,4.233699,41.63099,0.897282,-2.4793732,-5.8309293,-11.111022,-11.650733,-1.6184632,-11.298905,1.8743048,-8.717985,3.6043317,-1.9779484,-5.760377,-0.3102989,-0.09435707,-7.248666,3.5192938"
01,"-421.488,74.58857,3.4405496,8.552263,-5.426941,2.7163317,-10.345366,-9.842536,-12.385195,7.1619043,-11.754486,2.1016626,-7.1758113,-3.2966754,-1.7698147,-3.9704626,-0.06944198,2.5053985,-2.626128,3.9476032"
01,"-451.88052,68.7112,-2.48894,24.366606,-6.2687426,2.596161,-10.218173,-8.159258,-5.429445,2.541369,-7.6681814,8.451877,-5.550624,2.1375878,-1.4602268,-4.683624,-2.0920744,2.2430418,-8.279024,2.9624338"
01,"-433.23553,51.719723,-4.733376,33.57308,-12.071676,2.8877892,-14.447826,-8.295374,-8.439289,3.5954762,-13.100084,10.119831,-5.1964846,2.3893116,-0.07741663,-3.704032,0.26776543,1.2912686,-9.169185,5.048703"
01,"-429.82092,60.720894,-7.3076944,23.004276,-23.355692,7.918488,-9.333938,-10.799203,-7.9215703,3.4643247,-10.069473,3.7791471,-7.8541284,3.953262,-3.1574585,-2.3859684,-1.4457101,2.3984063,-6.0505223,2.3572216"
01,"-430.05582,80.15557,-4.963465,13.557636,-18.588009,5.200955,-7.566141,-12.553403,-10.629282,-0.63874036,-10.792653,3.5234265,-9.381752,-1.1113386,-1.6968672,-5.6736746,0.33737493,0.1786068,-8.241642,0.14402035"
01,"-442.65427,86.157364,6.3795176,12.914037,-25.04477,-0.75806236,-6.811805,-10.294243,-7.685393,1.7667934,-10.568069,1.5408026,-8.450368,3.023134,-6.026477,-3.1931813,0.6145292,-3.2122405,-5.2233534,2.1223223"
01,"-412.898,83.05499,10.703496,3.6068132,-6.626027,0.33076337,-10.330298,-12.850423,-10.866555,2.098853,-9.208727,1.7907292,-4.9922953,0.22752826,-3.984775,-0.99595535,-3.0287402,3.1344807,-2.4457574,-0.53673524"
01,"-392.21817,65.5882,-8.817341,10.354528,-16.909285,1.007567,-10.232562,-6.2337327,-12.817669,4.3688383,-12.721337,7.920952,-11.771686,4.3928685,-6.684111,-3.8269956,-1.5632226,0.5251281,-3.5603614,1.1233311"
01,"-373.83514,72.90606,-15.157009,21.33782,-18.537601,-7.4255347,-14.012978,-16.199389,-7.6237373,-4.0104866,-11.96178,7.524495,-13.206659,9.305188,-11.7889185,-2.1312287,-4.335958,-4.353846,-6.264659,-0.05311785"
01,"-407.14935,78.147095,12.377545,5.576997,-21.71394,-4.303135,-1.9698203,-11.304553,-7.124565,4.2659645,-9.620332,2.936689,-7.113913,4.0603085,-6.6255107,-4.506221,0.113152266,1.0522761,-1.3081515,6.1798325"
01,"-387.8217,86.76036,-13.264391,-0.21262553,-15.558253,6.473877,-9.744048,-15.3745365,-9.358741,2.2802618,-11.877178,6.8614135,-13.920713,4.6847396,-9.842364,-4.5210013,-0.28025275,-5.8010015,-3.903444,-0.050204366"
01,"-376.5822,66.229126,-2.0606484,6.0169315,-10.733814,3.0870655,-12.678177,-4.3161197,-11.6989975,3.9083679,-10.23493,-0.43963373,-5.0550466,1.9183333,-5.420322,-3.413908,-2.1953294,4.7489157,-3.5498827,4.4445534"
01,"-417.1156,65.227646,-4.8916254,22.559208,-8.332987,-3.176598,-18.972418,-8.045737,-9.187522,2.1532974,-12.709825,11.133391,-6.5950212,3.2508984,-5.4203653,-3.417916,-1.8319199,2.8342884,-12.114055,3.2801173"
01,"-402.14038,75.30726,-9.27122,12.169513,-16.87718,3.23453,-6.4597764,-12.755538,-9.820243,0.9975807,-10.823515,5.78257,-12.457277,1.6821169,-6.5395203,-1.0855068,-3.9713223,1.2614337,-8.602316,1.5745066"
01,"-423.2048,77.21065,-1.5178332,22.38019,-7.5951457,-2.8213801,-12.620302,-13.67882,-12.247216,-4.953202,-14.170867,2.4204335,-9.097881,1.4994835,-1.3652844,-3.4941223,-4.6106486,4.680949,-6.8487997,2.649582"
01,"-391.9013,72.85159,-10.1157255,8.525703,-7.0419235,-0.7002444,-10.951171,-5.2441,-11.322073,3.0246396,-10.2884445,-0.058280632,-8.355992,3.5920367,-2.48906,-3.0113516,-0.48053333,3.6019256,-0.60907036,8.838359"
01,"-408.20743,54.835087,-8.679521,9.391269,-7.3272705,4.928497,-12.640934,-5.7651787,-9.367946,5.9866323,-11.226667,5.6929164,-10.528604,4.420818,-3.1049974,-1.9671862,-1.3496139,2.05468,-8.901939,2.9666104"
